location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,76.54907256644643,2025-09-06,2025-09-06,quantile,wk inc covid hosp
02,0,0.01,44.18942812503949,2025-09-06,2025-09-06,quantile,wk inc covid hosp
04,0,0.01,181.56088485557325,2025-09-06,2025-09-06,quantile,wk inc covid hosp
05,0,0.01,901.8912407292875,2025-09-06,2025-09-06,quantile,wk inc covid hosp
06,0,0.01,401.5513434450808,2025-09-06,2025-09-06,quantile,wk inc covid hosp
08,0,0.01,193.80480570864435,2025-09-06,2025-09-06,quantile,wk inc covid hosp
09,0,0.01,98.44061173720904,2025-09-06,2025-09-06,quantile,wk inc covid hosp
10,0,0.01,31.50218075486023,2025-09-06,2025-09-06,quantile,wk inc covid hosp
11,0,0.01,1010.3532724149582,2025-09-06,2025-09-06,quantile,wk inc covid hosp
12,0,0.01,743.379478532362,2025-09-06,2025-09-06,quantile,wk inc covid hosp
13,0,0.01,165.10456297026795,2025-09-06,2025-09-06,quantile,wk inc covid hosp
15,0,0.01,75.15265824476828,2025-09-06,2025-09-06,quantile,wk inc covid hosp
16,0,0.01,252.8014186660429,2025-09-06,2025-09-06,quantile,wk inc covid hosp
17,0,0.01,272.79578390301464,2025-09-06,2025-09-06,quantile,wk inc covid hosp
18,0,0.01,189.52972939745348,2025-09-06,2025-09-06,quantile,wk inc covid hosp
19,0,0.01,82.8097293284362,2025-09-06,2025-09-06,quantile,wk inc covid hosp
20,0,0.01,196.49660484059856,2025-09-06,2025-09-06,quantile,wk inc covid hosp
21,0,0.01,209.2437206490496,2025-09-06,2025-09-06,quantile,wk inc covid hosp
22,0,0.01,121.50820450467197,2025-09-06,2025-09-06,quantile,wk inc covid hosp
23,0,0.01,156.19536576277773,2025-09-06,2025-09-06,quantile,wk inc covid hosp
24,0,0.01,285.51092450476756,2025-09-06,2025-09-06,quantile,wk inc covid hosp
25,0,0.01,585.8304134370136,2025-09-06,2025-09-06,quantile,wk inc covid hosp
26,0,0.01,299.18067338399936,2025-09-06,2025-09-06,quantile,wk inc covid hosp
27,0,0.01,101.8271713573226,2025-09-06,2025-09-06,quantile,wk inc covid hosp
28,0,0.01,156.0971391194438,2025-09-06,2025-09-06,quantile,wk inc covid hosp
29,0,0.01,155.66852313190802,2025-09-06,2025-09-06,quantile,wk inc covid hosp
30,0,0.01,44.750213653254015,2025-09-06,2025-09-06,quantile,wk inc covid hosp
31,0,0.01,105.89104170434557,2025-09-06,2025-09-06,quantile,wk inc covid hosp
32,0,0.01,68.2483838733435,2025-09-06,2025-09-06,quantile,wk inc covid hosp
33,0,0.01,307.60692083476636,2025-09-06,2025-09-06,quantile,wk inc covid hosp
34,0,0.01,117.65968062136072,2025-09-06,2025-09-06,quantile,wk inc covid hosp
35,0,0.01,610.652492539047,2025-09-06,2025-09-06,quantile,wk inc covid hosp
36,0,0.01,922.1484930517871,2025-09-06,2025-09-06,quantile,wk inc covid hosp
37,0,0.01,126.74497280033043,2025-09-06,2025-09-06,quantile,wk inc covid hosp
38,0,0.01,348.73169606364957,2025-09-06,2025-09-06,quantile,wk inc covid hosp
39,0,0.01,226.92232035909086,2025-09-06,2025-09-06,quantile,wk inc covid hosp
40,0,0.01,188.6857573355466,2025-09-06,2025-09-06,quantile,wk inc covid hosp
41,0,0.01,419.94790681156655,2025-09-06,2025-09-06,quantile,wk inc covid hosp
42,0,0.01,171.64863075678065,2025-09-06,2025-09-06,quantile,wk inc covid hosp
44,0,0.01,103.61775405839794,2025-09-06,2025-09-06,quantile,wk inc covid hosp
45,0,0.01,65.04624890461444,2025-09-06,2025-09-06,quantile,wk inc covid hosp
46,0,0.01,161.6842936669456,2025-09-06,2025-09-06,quantile,wk inc covid hosp
47,0,0.01,825.1485858071494,2025-09-06,2025-09-06,quantile,wk inc covid hosp
48,0,0.01,220.6448943473818,2025-09-06,2025-09-06,quantile,wk inc covid hosp
49,0,0.01,33.09258902791543,2025-09-06,2025-09-06,quantile,wk inc covid hosp
50,0,0.01,117.84213158681031,2025-09-06,2025-09-06,quantile,wk inc covid hosp
51,0,0.01,359.44966502285683,2025-09-06,2025-09-06,quantile,wk inc covid hosp
53,0,0.01,86.86571730620835,2025-09-06,2025-09-06,quantile,wk inc covid hosp
54,0,0.01,248.46879023014947,2025-09-06,2025-09-06,quantile,wk inc covid hosp
55,0,0.01,102.04899317876526,2025-09-06,2025-09-06,quantile,wk inc covid hosp
56,0,0.01,32.37912262445779,2025-09-06,2025-09-06,quantile,wk inc covid hosp
72,0,0.01,7143.644768065664,2025-09-06,2025-09-06,quantile,wk inc covid hosp
US,0,0.01,3574.9953824845006,2025-09-06,2025-09-06,quantile,wk inc covid hosp
01,0,0.025,82.10556804589234,2025-09-06,2025-09-06,quantile,wk inc covid hosp
02,0,0.025,54.02559482959095,2025-09-06,2025-09-06,quantile,wk inc covid hosp
04,0,0.025,194.11622212162067,2025-09-06,2025-09-06,quantile,wk inc covid hosp
